epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,265.55,1.50248,2.16281,0.01543,0.38501,0.36432,0.3519,0.18495,1.8261,2.45184,0.02053,0.000412246,0.000412246,0.000412246
58,269.538,1.51552,2.03139,0.01285,0.3149,0.3548,0.33065,0.17896,1.85519,2.60502,0.02062,0.000397019,0.000397019,0.000397019
59,274.481,1.56148,2.08659,0.01368,0.30828,0.34641,0.32217,0.17319,1.78463,2.71872,0.01928,0.000381899,0.000381899,0.000381899
60,278.074,1.50256,2.04109,0.01326,0.30134,0.31439,0.32039,0.17797,1.81826,2.57712,0.0204,0.000366899,0.000366899,0.000366899
61,281.717,1.47954,1.81799,0.01351,0.35748,0.25939,0.31313,0.17292,1.84393,2.60388,0.01964,0.000352037,0.000352037,0.000352037
62,286.728,1.56838,2.01437,0.01501,0.35083,0.29407,0.32729,0.16933,1.86696,2.62699,0.02021,0.000337325,0.000337325,0.000337325
63,290.655,1.53259,1.84753,0.01415,0.36818,0.34353,0.34181,0.17868,1.83379,2.65465,0.01958,0.000322778,0.000322778,0.000322778
64,294.34,1.48239,1.86324,0.01377,0.35524,0.34859,0.34874,0.1821,1.89282,2.53199,0.02096,0.000308412,0.000308412,0.000308412
65,298.221,1.50101,1.96018,0.01411,0.41641,0.31747,0.36006,0.18863,1.84915,2.52601,0.02034,0.000294239,0.000294239,0.000294239
66,303.326,1.4681,1.86132,0.01277,0.43555,0.34641,0.36543,0.18961,1.77384,2.50352,0.01945,0.000280275,0.000280275,0.000280275
67,306.915,1.50406,1.94278,0.01202,0.42176,0.33662,0.36352,0.19448,1.78189,2.50894,0.01877,0.000266532,0.000266532,0.000266532
68,310.641,1.52431,1.90445,0.01334,0.41076,0.33145,0.35719,0.19431,1.76073,2.50995,0.01936,0.000253024,0.000253024,0.000253024
69,315.524,1.59774,1.95634,0.01441,0.33156,0.38668,0.34834,0.19506,1.76756,2.49711,0.01897,0.000239766,0.000239766,0.000239766
70,319.712,1.50867,1.92085,0.01424,0.31377,0.36603,0.35106,0.19261,1.8242,2.45424,0.01966,0.000226769,0.000226769,0.000226769
71,323.361,1.50767,1.77736,0.01266,0.3119,0.40517,0.34428,0.18793,1.80136,2.44919,0.01942,0.000214046,0.000214046,0.000214046
72,327.009,1.56052,1.77615,0.01546,0.32695,0.34634,0.34146,0.18323,1.81402,2.50822,0.01988,0.000201611,0.000201611,0.000201611
73,332.336,1.41955,1.8409,0.01217,0.36625,0.35776,0.34384,0.17677,1.88727,2.49581,0.02098,0.000189475,0.000189475,0.000189475
74,335.91,1.54866,1.93009,0.01373,0.36538,0.38465,0.35044,0.18117,1.84924,2.54503,0.01999,0.000177651,0.000177651,0.000177651
75,339.383,1.50221,1.73237,0.01482,0.37608,0.38998,0.3469,0.18288,1.84239,2.47727,0.02013,0.000166149,0.000166149,0.000166149
76,343.686,1.42337,1.60232,0.01336,0.40432,0.39994,0.37025,0.20207,1.81206,2.4266,0.01982,0.000154982,0.000154982,0.000154982
77,348.266,1.43028,1.84397,0.01187,0.3812,0.42741,0.37116,0.20474,1.81449,2.38246,0.02005,0.000144161,0.000144161,0.000144161
78,351.903,1.49024,1.85157,0.01396,0.41463,0.41187,0.36945,0.21065,1.79738,2.39785,0.02009,0.000133695,0.000133695,0.000133695
79,355.51,1.4258,1.81067,0.01273,0.41053,0.4552,0.3755,0.21585,1.82975,2.3392,0.02097,0.000123596,0.000123596,0.000123596
